"skills","type","jobs_demanded","percentage_jobs_demanded"
"python","programming","114016","66.01%"
"sql","programming","79174","45.84%"
"r","programming","59754","34.59%"
"tableau","analyst_tools","29513","17.09%"
"aws","cloud","26311","15.23%"
"spark","libraries","24353","14.10%"
"azure","cloud","21698","12.56%"
"tensorflow","libraries","19193","11.11%"
"excel","analyst_tools","17601","10.19%"
"java","programming","16314","9.45%"
"power bi","analyst_tools","15744","9.12%"
"hadoop","libraries","15575","9.02%"
